district,fiscal_year,revenues,expenditures,net_change,beginning_balance,ending_balance,restated,cash,fb_nonspendable,fb_restricted,fb_committed,fb_assigned,fb_unassigned,fb_total,ok_rollforward,ok_fbsum
Waukee CSD,2019,115920742.0,113167055.0,2634601.0,15610901.0,18245502.0,,31185974.0,,1145054.0,,,17100448.0,18245502.0,Y,
Waukee CSD,2020,122584934.0,123675598.0,-1022352.0,18245502.0,17223150.0,,29524037.0,,1137297.0,,,16085853.0,17223150.0,Y,
Waukee CSD,2021,133363511.0,132262434.0,1379900.0,17223150.0,18603050.0,,30734535.0,,1444046.0,3908600.0,,13250404.0,18603050.0,Y,
Waukee CSD,2022,142894048.0,144288273.0,-1422922.0,18603050.0,17180128.0,,33565722.0,,1476549.0,4601587.0,,11101992.0,17180128.0,Y,
Waukee CSD,2023,158721023.0,156425252.0,2151497.0,17180128.0,19331625.0,,36503057.0,,1688620.0,4979059.0,,12663946.0,19331625.0,Y,
West Des Moines CSD,2015,100144183.0,98013421.0,2217608.0,13791241.0,16008849.0,,26531266.0,57385.0,2145210.0,4587716.0,,9218538.0,16008849.0,Y,
West Des Moines CSD,2016,106315093.0,101760794.0,4684365.0,16008849.0,20693214.0,,30082062.0,55794.0,3805044.0,4988125.0,,11844251.0,20693214.0,Y,
West Des Moines CSD,2017,107845611.0,101309514.0,6617770.0,20693214.0,27310984.0,,38518430.0,71931.0,4087212.0,5567381.0,,17584460.0,27310984.0,Y,
West Des Moines CSD,2018,111443926.0,118111376.0,-6489290.0,27310984.0,20821694.0,,33207957.0,69632.0,3482187.0,4881607.0,,12388268.0,20821694.0,Y,
West Des Moines CSD,2019,107264097.0,113019976.0,-5557515.0,20821694.0,15264179.0,,24799473.0,165448.0,2928847.0,4832526.0,,7337358.0,15264179.0,Y,
West Des Moines CSD,2020,116944641.0,114446448.0,2600534.0,15264179.0,17864713.0,,28854056.0,140575.0,2201318.0,4598506.0,,10924314.0,17864713.0,Y,
West Des Moines CSD,2021,125554087.0,121227543.0,3262295.0,17864713.0,21127008.0,,26842379.0,126647.0,2695958.0,5189067.0,,13007006.0,21127008.0,Y,
West Des Moines CSD,2022,129114481.0,121676880.0,7346324.0,21127008.0,28473332.0,,32843552.0,175754.0,2704263.0,5266678.0,,20326637.0,28473332.0,Y,
West Des Moines CSD,2023,132142293.0,128230859.0,3983745.0,28473332.0,32457077.0,,35140963.0,100955.0,3173260.0,4269646.0,,24913216.0,32457077.0,Y,
