district_code,district_name,fiscal_year,fund,beginning_balance,revenues,expenditures,ending_balance,gf_unassigned,gf_assigned
63,Akron-Westfield,2019,Sales Tax,399439.34,650062.1,233936.03,815565.41,,
63,Akron-Westfield,2020,Activity,186552.77,259532.42,221986.15,224099.04,,
63,Akron-Westfield,2020,Debt Service,0.0,368637.07,368637.07,0.0,,
63,Akron-Westfield,2020,Emergency_Disaster,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2020,Enterprise,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2020,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2020,General,1524454.91,7464151.95,7050574.97,1938031.89,,
63,Akron-Westfield,2020,Management,300947.75,281878.12,367716.5,215109.37,,
63,Akron-Westfield,2020,Nutrition,60801.53,404785.97,410163.17,55424.33,,
63,Akron-Westfield,2020,Other Capital Projects,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2020,PERL,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2020,PPEL,130669.46,271310.84,261306.91,140673.39,,
63,Akron-Westfield,2020,Sales Tax,815565.41,1230158.59,1229183.8,816540.2,,
63,Akron-Westfield,2021,Activity,224099.04,171276.29,169339.21,226036.12,,
63,Akron-Westfield,2021,Debt Service,0.0,110270.31,110270.31,0.0,,
63,Akron-Westfield,2021,Emergency_Disaster,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2021,Enterprise,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2021,Entrepreneurial_Reorganization,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2021,General,1938031.89,8066668.15,7855862.59,2148837.45,,
63,Akron-Westfield,2021,Management,215109.37,405378.73,319733.73,300754.37,,
63,Akron-Westfield,2021,Nutrition,55424.33,474652.09,414442.74,115633.68,,
63,Akron-Westfield,2021,Other Capital Projects,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2021,PERL,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2021,PPEL,140673.39,291567.99,239000.84,193240.54,,
63,Akron-Westfield,2021,Sales Tax,816540.2,978614.07,1172511.37,622642.9,,
63,Akron-Westfield,2022,Activity,226036.12,295440.96,328524.85,192952.23,,
63,Akron-Westfield,2022,Debt Service,0.0,228771.38,228771.38,0.0,,
63,Akron-Westfield,2022,Emergency_Disaster,0.0,0.0,0.0,0.0,,
63,Akron-Westfield,2022,Enterprise,0.0,0.0,0.0,0.0,,
