jurisdiction,period,period_type,structure_bucket,units,source,flag
Johnson Co. (uninc.),2010,annual,manufactured,5,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2011,annual,1-unit,38,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2011,annual,2-unit,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),0 duplex permit(s) x2 units
Johnson Co. (uninc.),2011,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2011,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2011,annual,manufactured,4,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2012,annual,1-unit,66,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2012,annual,2-unit,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),0 duplex permit(s) x2 units
Johnson Co. (uninc.),2012,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2012,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2012,annual,manufactured,5,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2013,annual,1-unit,71,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2013,annual,2-unit,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),0 duplex permit(s) x2 units
Johnson Co. (uninc.),2013,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2013,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2013,annual,manufactured,2,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2014,annual,1-unit,47,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2014,annual,2-unit,2,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),1 duplex permit(s) x2 units
Johnson Co. (uninc.),2014,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2014,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2014,annual,manufactured,2,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),"Mobile-home-park placements; NOT a BPS bucket; many are replacements, not net-new"
Johnson Co. (uninc.),2015,annual,1-unit,76,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),SF detached incl. occasional cabin/ADU
Johnson Co. (uninc.),2015,annual,2-unit,12,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),6 duplex permit(s) x2 units
Johnson Co. (uninc.),2015,annual,3-4,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
Johnson Co. (uninc.),2015,annual,5+,0,Johnson County CitizenServe 'Issued Permits' report (issue-date basis),
